,embedding_name,embedding_MI_output
41,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.2_k6_NA_zdim256_gat_self_loop_euc_graphK90_layer15,0.9705399116113524
42,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim3_gat_self_loop_euc_graphK90_layer15,0.9051180331200454
43,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim10_gat_self_loop_euc_graphK90_layer15,0.9504429627073294
44,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim16_gat_self_loop_euc_graphK90_layer15,0.9367932368705814
45,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim32_gat_self_loop_euc_graphK90_layer15,0.9494171467904158
46,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim64_gat_self_loop_euc_graphK90_layer15,0.9619295085122873
47,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim128_gat_self_loop_euc_graphK90_layer15,0.9690069535006871
48,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha1.5_k6_NA_zdim256_gat_self_loop_euc_graphK90_layer15,0.9739216052220961
49,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim3_gat_self_loop_euc_graphK90_layer15,0.9050181012438341
50,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim10_gat_self_loop_euc_graphK90_layer15,0.955222250672492
51,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim16_gat_self_loop_euc_graphK90_layer15,0.9423250641746203
52,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim32_gat_self_loop_euc_graphK90_layer15,0.9344997491601101
53,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim64_gat_self_loop_euc_graphK90_layer15,0.9704480717393772
54,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim128_gat_self_loop_euc_graphK90_layer15,0.9618811639986312
55,151507_raw_res0.3_euclidean_NA_dummy_add_PEalpha2.0_k6_NA_zdim256_gat_self_loop_euc_graphK90_layer15,0.9796562039683882
